node_id,x,y,degree_at_node_0,degree_at_node_1,degree_at_node_2,degree_at_node_3,degree_at_node_4,degree_at_node_5,degree_at_node_6,degree_at_node_7,degree_at_node_8,degree_at_node_9,degree_at_node_10,degree_at_node_11,degree_at_node_12,degree_at_node_13,degree_at_node_14,degree_at_node_15,degree_at_node_16,degree_at_node_17,degree_at_node_18,degree_at_node_19,degree_at_node_20,degree_at_node_21,degree_at_node_22,degree_at_node_23,degree_at_node_24,degree_at_node_25,degree_at_node_26,degree_at_node_27,degree_at_node_28,degree_at_node_29,degree_at_node_30,degree_at_node_31,degree_at_node_32,degree_at_node_33,degree_at_node_34,degree_at_node_35,degree_at_node_36,degree_at_node_37,degree_at_node_38,degree_at_node_39,degree_at_node_40,degree_at_node_41,degree_at_node_42,degree_at_node_43,degree_at_node_44,degree_at_node_45,degree_at_node_46,degree_at_node_47,degree_at_node_48,degree_at_node_49,degree_at_node_50,degree_at_node_51,degree_at_node_52,degree_at_node_53,degree_at_node_54,degree_at_node_55,degree_at_node_56,degree_at_node_57,degree_at_node_58,degree_at_node_59,target_0_x,target_0_y,target_1_x,target_1_y,target_2_x,target_2_y,target_3_x,target_3_y
0,1.2579899993701122,0.05579155553406512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-0.7403278230183501,0.17758457384809967,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2579899993701122,0.05579155553406512
2,-2.1710012953307727,0.07990259701760172,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2579899993701122,0.05579155553406512
3,0.14670518734100124,-0.24344079249315653,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2579899993701122,0.05579155553406512
4,0.9182860714460945,-0.30584273655336913,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2579899993701122,0.05579155553406512
5,0.3389087755073481,0.4804722304405171,5,2,1,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2579899993701122,0.05579155553406512,-0.7403278230183501,0.17758457384809967,0.14670518734100124,-0.24344079249315653,0.9182860714460945,-0.30584273655336913
6,-0.04582039983113262,-1.6969067607816717,5,3,1,3,3,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7403278230183501,0.17758457384809967,0.14670518734100124,-0.24344079249315653,0.9182860714460945,-0.30584273655336913,0.3389087755073481,0.4804722304405171
7,1.0275367780374935,0.6895038471012924,6,4,2,3,4,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2579899993701122,0.05579155553406512,-0.7403278230183501,0.17758457384809967,-2.1710012953307727,0.07990259701760172,0.9182860714460945,-0.30584273655336913
8,0.8796719716428205,1.3389570341086374,7,5,2,3,4,6,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2579899993701122,0.05579155553406512,-0.7403278230183501,0.17758457384809967,0.3389087755073481,0.4804722304405171,1.0275367780374935,0.6895038471012924
9,-0.5357010723843603,-0.9959184558069185,8,6,2,3,4,7,5,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2579899993701122,0.05579155553406512,-0.7403278230183501,0.17758457384809967,0.3389087755073481,0.4804722304405171,-0.04582039983113262,-1.6969067607816717
10,-1.7997149941576183,-1.1836426281915704,8,6,3,4,5,8,5,5,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.1710012953307727,0.07990259701760172,0.14670518734100124,-0.24344079249315653,0.9182860714460945,-0.30584273655336913,0.3389087755073481,0.4804722304405171
11,-0.14191197285179413,-0.5717854806757781,9,7,3,4,5,8,5,6,4,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2579899993701122,0.05579155553406512,-0.7403278230183501,0.17758457384809967,-0.5357010723843603,-0.9959184558069185,1.0275367780374935,0.6895038471012924
12,1.5988692810901872,0.1748258095931945,10,7,3,4,5,9,5,7,4,6,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2579899993701122,0.05579155553406512,-0.5357010723843603,-0.9959184558069185,0.3389087755073481,0.4804722304405171,1.0275367780374935,0.6895038471012924
13,-1.1362545483018152,-0.5655339110194979,10,7,3,5,6,9,5,7,5,7,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8796719716428205,1.3389570341086374,-0.5357010723843603,-0.9959184558069185,0.14670518734100124,-0.24344079249315653,0.9182860714460945,-0.30584273655336913
14,0.21831841603457836,-0.8240813575399746,10,7,4,5,7,10,5,7,5,8,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5357010723843603,-0.9959184558069185,-2.1710012953307727,0.07990259701760172,0.9182860714460945,-0.30584273655336913,0.3389087755073481,0.4804722304405171
15,0.14944787999231135,-1.3833052239883457,11,7,4,6,7,10,5,8,5,8,4,5,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2579899993701122,0.05579155553406512,-0.14191197285179413,-0.5717854806757781,0.14670518734100124,-0.24344079249315653,1.0275367780374935,0.6895038471012924
16,-2.076154353283772,0.8879726429024273,11,7,5,6,8,10,5,8,5,8,4,5,5,4,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.1710012953307727,0.07990259701760172,0.9182860714460945,-0.30584273655336913,1.5988692810901872,0.1748258095931945,0.21831841603457836,-0.8240813575399746
17,1.8306728427864458,0.5733509512160384,12,7,5,7,8,10,5,8,5,9,4,5,5,4,6,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2579899993701122,0.05579155553406512,-0.5357010723843603,-0.9959184558069185,0.14670518734100124,-0.24344079249315653,0.21831841603457836,-0.8240813575399746
